sec,rms,F1,F2,F3,F4,f0,c
0.43,-8.578356742858887,829.931,1604.219,2824.472,4283.682,279.07,0.689
0.44,-8.651152610778809,844.646,1639.216,2865.847,4300.403,285.714,0.827
0.45,-8.774953842163086,849.184,1735.165,2897.28,4310.551,292.683,0.713
0.46,-10.473627090454102,845.517,1722.929,2917.381,4283.844,307.692,0.835
0.47,-11.07784366607666,849.048,1672.624,2956.504,4294.523,315.789,0.827
0.48,-10.558671951293945,815.163,1588.847,2949.211,4277.939,324.324,0.796
0.49,-10.069893836975098,738.892,1498.944,2983.223,4272.91,333.333,0.836
0.5,-9.730450630187988,703.443,1486.776,3010.412,4222.204,333.333,0.873
0.51,-9.506248474121094,693.449,1532.528,3038.494,4277.136,342.857,0.835
0.52,-10.084012985229492,687.655,1529.474,3071.927,4279.748,342.857,0.853
0.53,-10.446355819702148,686.412,1464.797,3091.706,4300.313,342.857,0.884
0.54,-10.015756607055664,694.448,1444.703,3119.642,4354.912,342.857,0.841
0.55,-9.782466888427734,688.613,1413.042,3074.601,4250.903,342.857,0.875
0.56,-10.235800743103027,676.356,1418.622,3100.145,4268.731,342.857,0.822
0.57,-10.125822067260742,653.722,1369.511,3178.173,4298.119,333.333,0.841
0.58,-9.651602745056152,696.037,1329.105,3170.593,4345.116,324.324,0.847
0.59,-10.507795333862305,761.898,1334.176,3163.557,4332.61,307.692,0.719
0.6,-11.663037300109863,805.07,1460.991,3161.678,4329.803,292.683,0.773
0.61,-11.126938819885254,784.31,1369.979,3140.516,4333.039,272.727,0.723
0.62,-10.14116382598877,743.827,1274.452,3115.798,4312.236,250.0,0.728
0.63,-9.792263984680176,709.833,1244.541,3100.832,4277.3,235.294,0.613
0.64,-9.74902057647705,674.659,1213.294,3110.921,4263.842,226.415,0.62
0.65,-9.543645858764648,649.84,1183.038,3107.64,4226.002,210.526,0.655
0.66,-10.384330749511719,611.033,1226.563,3129.842,4248.06,206.897,0.616
0.67,-12.06564712524414,592.561,1219.709,3126.14,4244.434,196.721,0.653
0.68,-12.890140533447266,579.15,1166.112,3067.244,4265.511,193.548,0.714
0.69,-12.66073226928711,577.885,1141.395,3065.406,4344.304,190.476,0.682
0.7,-13.517797470092773,566.82,1133.347,3054.876,4241.948,190.476,0.627
0.71,-15.713825225830078,563.197,1133.925,3061.291,4240.743,193.548,0.596
0.72,-17.81673240661621,598.974,1238.68,3070.788,4227.285,206.897,0.576
0.73,-21.912109375,591.411,1240.519,3084.891,4185.741,196.721,0.488
0.74,-24.163923263549805,600.704,1220.963,3136.271,4171.036,200.0,0.553
0.75,-25.75680160522461,651.874,1430.791,3096.061,4209.446,196.721,0.6
0.76,-28.24541473388672,655.797,2091.377,3148.951,4369.032,193.548,0.515
0.77,-26.69143295288086,609.492,2025.899,3185.801,4443.812,300.0,0.531
